CookerStat, GenerateAssetRegistry=0.023793, Initialize=0.121295, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionId7FED2D02483374DE42D7D5B9F6AFA419_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F6F6A301418D4D2856E14D800271ACA4__1_0_13123_0, StartTime=2016.05.18-09.35.49, HierarchicalDDC=, DataSize=465, Duration=1.814816, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionIdD3653CB4457A78382D549A83499207D2_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2875F3D84545A1A849504C9804E216CE__1_0_13123_0, StartTime=2016.05.18-09.35.49, HierarchicalDDC=, DataSize=465, Duration=1.665056, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionId8AE50B17412569A77828ABAF1CC99778_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DCDF983D468EA00BACC995A8A36210A0__1_0_13123_0, StartTime=2016.05.18-09.35.49, HierarchicalDDC=, DataSize=19606, Duration=1.234915, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionId7FED2D02483374DE42D7D5B9F6AFA419_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7052E6B249029ECF50614C82E861F0ED__1_0_13123_0, StartTime=2016.05.18-09.39.09, HierarchicalDDC=, DataSize=465, Duration=1.613736, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionIdD3653CB4457A78382D549A83499207D2_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_119918EE487A09270E2B09B959A93AF1__1_0_13123_0, StartTime=2016.05.18-09.39.09, HierarchicalDDC=, DataSize=465, Duration=1.600210, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionId8AE50B17412569A77828ABAF1CC99778_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7F0614914F73BC0DC0735DBD2483C8DE__1_0_13123_0, StartTime=2016.05.18-09.39.09, HierarchicalDDC=, DataSize=19606, Duration=1.326356, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionId8AE50B17412569A77828ABAF1CC99778_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A4EAF76840FECDADA6296B9A6C2DB40D__1_0_13123_0, StartTime=2016.05.18-09.39.12, HierarchicalDDC=, DataSize=465, Duration=4.254319, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionId7FED2D02483374DE42D7D5B9F6AFA419_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_565CE11340738F9C9D8D70885E6602A6__1_0_13123_0, StartTime=2016.05.18-09.39.12, HierarchicalDDC=, DataSize=465, Duration=2.477288, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
DDCTransactionIdD3653CB4457A78382D549A83499207D2_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B5D53BF8459327A858458E8C78959C25__1_0_13123_0, StartTime=2016.05.18-09.39.12, HierarchicalDDC=, DataSize=19606, Duration=1.797549, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
SavePackageTransactionIdA78B4642450CEFE8D163B7975D8E5175_0, Filename=D:/Backup Effulgent/Effulgent/New folder/Game-Design/Effulgent/Content/World1/NewWorld.umap, AutoPackageBackupDelegate=2.218831, FlushAsyncLoading=0.008866, FlushStreamingFunc=0.078842, BlockTillAllRequestsFinished=0.007000, ResetLoadersForSaveUnMarkAllObjects=0.949860, TagPackageExports=14.307644, BeginCacheForCookedPlatformData=0.005595, SerializeImports=19.943830, GatherLocalizableTextData=147.614853, MarkNames=1.336616, SerializeSummary=0.058316, SerializeNames=0.758585, SerializeGatherableTextData=0.086308, BuildExportMap=2.932161, SortExportsNonSeekfree=16.019352, SortExportsSeekfreeConstructor=0.335906, SortExportsSeekfreeInner=43.887245, SortExportsSeekfree=0.009332, BuildDependencyMap=0.926070, SerializeImportMap=0.052251, SerializeExportMap=0.367627, SerializeDependencyMap=0.099838, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.536843, SerializeExports=50.358532, SerializeBulkData=0.027526, MoveFile=0.881750, UnaccountedTime=0.968523, RunGuid=RunIDD413C4D64A2564569848FB9ACD4084BD
