CookerStat, GenerateAssetRegistry=1.081105, Initialize=85.609619, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF309C11F45012772A1FA389F0F542119_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FD977D6E4D03C8593752C6BDADB9C__F4CF6C5AE110A7143FF8B206BAB94E326CB377F4, StartTime=2016.05.18-19.07.12, HierarchicalDDC=, DataSize=131335, Duration=0.364359, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF19051B54A95C9BBE71552A2743A0384_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FD977D6E4D03C8593752C6BDADB9C__192D7EB245856E4368A943461D93042F42BEEDDD, StartTime=2016.05.18-19.07.12, HierarchicalDDC=, DataSize=33031, Duration=0.151817, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF309C11F45012772A1FA389F0F542119_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FD977D6E4D03C8593752C6BDADB9C__F75C96053A8FCEAF0DD90B19333711B86D53FDF6, StartTime=2016.05.18-19.07.12, HierarchicalDDC=, DataSize=8455, Duration=0.107769, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF19051B54A95C9BBE71552A2743A0384_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FD977D6E4D03C8593752C6BDADB9C__9BD7E3F4CD4B287B334BE62BE016AB7C160C96EC, StartTime=2016.05.18-19.07.12, HierarchicalDDC=, DataSize=4452, Duration=0.082109, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdFAF11AC142BECBCCE6AB9891C0CC12C4_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F24813AC40F791496D6F6E918F1CF92D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.18-19.07.12, Duration=132.072357, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionId549EBDC74A198DEF19A49EACFF67C47B_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F24813AC40F791496D6F6E918F1CF92D___22ABBE448C96E69DE795D9D8B1656086527FD6CD, StartTime=2016.05.18-19.07.13, HierarchicalDDC=, DataSize=1048837, Duration=1.565207, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF309C11F45012772A1FA389F0F542119_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F24813AC40F791496D6F6E918F1CF92D___7F363E835E0D2DCAE3BD79E10B8064FAB2C79B06, StartTime=2016.05.18-19.07.13, HierarchicalDDC=, DataSize=262403, Duration=0.419099, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF19051B54A95C9BBE71552A2743A0384_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F24813AC40F791496D6F6E918F1CF92D___272DEF7CEE17EF93AC0AD7EF86F0CE0BE68F6497, StartTime=2016.05.18-19.07.13, HierarchicalDDC=, DataSize=65795, Duration=0.264291, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF19051B54A95C9BBE71552A2743A0384_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F24813AC40F791496D6F6E918F1CF92D___059BF5255AF14271286B18C7C1FB469E754CAE4F, StartTime=2016.05.18-19.07.13, HierarchicalDDC=, DataSize=16643, Duration=0.113755, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
DDCTransactionIdF309C11F45012772A1FA389F0F542119_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F24813AC40F791496D6F6E918F1CF92D___F5971BAA9AC87AB983174EC495BB83C516AA7051, StartTime=2016.05.18-19.07.13, HierarchicalDDC=, DataSize=7175, Duration=0.091944, RunGuid=RunIDC013BA39461D3580EAD084A87C5FA918
