CookerStat, GenerateAssetRegistry=0.023793, Initialize=0.121765, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId45FCE000405EB9C364815DAEAC0F31DB_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3D57340842AB7DF12D8833B48BD88C0A__1_0_13123_0, StartTime=2016.05.18-16.21.52, HierarchicalDDC=, DataSize=451, Duration=1.531161, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionIdEC5120DA4A52C279670CCF8F74682576_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A4EEBBC14F0A464C208535808FAE6880__1_0_13123_0, StartTime=2016.05.18-16.21.52, HierarchicalDDC=, DataSize=437, Duration=1.413129, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId179E5FAE4A0C3756E9062D93BD752264_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9A9348EC4394A2653029D08DA8A39A35__1_0_13123_0, StartTime=2016.05.18-16.21.52, HierarchicalDDC=, DataSize=1471, Duration=1.423392, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId179E5FAE4A0C3756E9062D93BD752264_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_287E0E304D5F6F8045BBB8B86F843330__1_0_13123_0, StartTime=2016.05.18-16.21.53, HierarchicalDDC=, DataSize=451, Duration=2.148852, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId45FCE000405EB9C364815DAEAC0F31DB_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E89FC45D487AD9F25FDECBA0CA30FEB5__1_0_13123_0, StartTime=2016.05.18-16.21.53, HierarchicalDDC=, DataSize=437, Duration=1.897857, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionIdEC5120DA4A52C279670CCF8F74682576_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2A353EF4E2B496A70120F8AA6DCF4E5__1_0_13123_0, StartTime=2016.05.18-16.21.53, HierarchicalDDC=, DataSize=1471, Duration=2.131589, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId45FCE000405EB9C364815DAEAC0F31DB_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_74B34E264AAD6609B7CEDC88330682C2__1_0_13123_0, StartTime=2016.05.18-16.21.55, HierarchicalDDC=, DataSize=451, Duration=1.644995, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionIdEC5120DA4A52C279670CCF8F74682576_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_971C49314CCBC4CF9FA2DB8E9D2F24CC__1_0_13123_0, StartTime=2016.05.18-16.21.55, HierarchicalDDC=, DataSize=437, Duration=1.284834, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId179E5FAE4A0C3756E9062D93BD752264_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_03C726354C030853ECCF08A08EB87138__1_0_13123_0, StartTime=2016.05.18-16.21.55, HierarchicalDDC=, DataSize=1247, Duration=1.279701, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId45FCE000405EB9C364815DAEAC0F31DB_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E21C2B764CAC8769B81FA895E84C6CEC__1_0_13123_0, StartTime=2016.05.18-16.22.05, HierarchicalDDC=, DataSize=451, Duration=1.747634, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionIdEC5120DA4A52C279670CCF8F74682576_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E9175222460F03771DF76D8337FAF7E0__1_0_13123_0, StartTime=2016.05.18-16.22.05, HierarchicalDDC=, DataSize=1171, Duration=1.569416, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
DDCTransactionId179E5FAE4A0C3756E9062D93BD752264_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA2FEFD64B5BBFE7B81EFA90ACD7564C__1_0_13123_0, StartTime=2016.05.18-16.22.05, HierarchicalDDC=, DataSize=399, Duration=1.413595, RunGuid=RunIDBF4E466946F5FF77598316AA7139D17A
